routingNumber,bankName,districtName,branchName
10281572,AGRANI BANK LTD,DINAJPUR,MUNSHIPARA
10281635,AGRANI BANK LTD,DINAJPUR,NAWABGANJ
10281819,AGRANI BANK LTD,DINAJPUR,PARBATIPUR
10281848,AGRANI BANK LTD,DINAJPUR,PHUL HAT
10281877,AGRANI BANK LTD,DINAJPUR,PHULBARI
10281969,AGRANI BANK LTD,DINAJPUR,PURATAN BAZAR
10282171,AGRANI BANK LTD,DINAJPUR,SETABGANJ
10282326,AGRANI BANK LTD,DINAJPUR,STATION ROAD
10282418,AGRANI BANK LTD,DINAJPUR,TAJPURHAT
10290163,AGRANI BANK LTD,FARIDPUR,BADARPUR
10290284,AGRANI BANK LTD,FARIDPUR,BHANGA
10290347,AGRANI BANK LTD,FARIDPUR,BOALMARI
10290376,AGRANI BANK LTD,FARIDPUR,BUS STAND
10290439,AGRANI BANK LTD,FARIDPUR,CHAR BHADRASAN
10290521,AGRANI BANK LTD,FARIDPUR,FARIDPUR
10290589,AGRANI BANK LTD,FARIDPUR,GHARUA
10291120,AGRANI BANK LTD,FARIDPUR,MALIGRAM
10291188,AGRANI BANK LTD,FARIDPUR,NAGARKANDA
10291270,AGRANI BANK LTD,FARIDPUR,SADARPUR
10291333,AGRANI BANK LTD,FARIDPUR,SARIATULLAH BAZAR
10291517,AGRANI BANK LTD,FARIDPUR,ZILLA PARISAD
10300066,AGRANI BANK LTD,FENI,SUBAR BAZAR
10300132,AGRANI BANK LTD,FENI,BAIRAGIRHAT
10300316,AGRANI BANK LTD,FENI,CHHAGALNAIYA
10300529,AGRANI BANK LTD,FENI,FENI
10300790,AGRANI BANK LTD,FENI,KAMALAPATTY
10301278,AGRANI BANK LTD,FENI,PARSHURAM
10301481,AGRANI BANK LTD,FENI,SONAGAZI
10301515,AGRANI BANK LTD,FENI,TULATOLY BAZAR
10320220,AGRANI BANK LTD,GAIBANDHA,BONARPARA
10320370,AGRANI BANK LTD,GAIBANDHA,DHOLBHANGA
10320491,AGRANI BANK LTD,GAIBANDHA,FULCHARIGHAT
10320525,AGRANI BANK LTD,GAIBANDHA,GAIBANDHA
10320709,AGRANI BANK LTD,GAIBANDHA,KAMARPARA
10321032,AGRANI BANK LTD,GAIBANDHA,NALDANGA
10321124,AGRANI BANK LTD,GAIBANDHA,PANCHPIR BAZAR
10321216,AGRANI BANK LTD,GAIBANDHA,RASULPUR
10321245,AGRANI BANK LTD,GAIBANDHA,SADULLAPUR
10321274,AGRANI BANK LTD,GAIBANDHA,SAGHATTA
10321308,AGRANI BANK LTD,GAIBANDHA,SUNDARGANJ
10330207,AGRANI BANK LTD,GAZIPUR,BAKTARPUR
10330223,AGRANI BANK LTD,GAZIPUR,BOARD BAZAR
10330281,AGRANI BANK LTD,GAZIPUR,BORMI BAZAR
10330436,AGRANI BANK LTD,GAZIPUR,D U E T
10330449,AGRANI BANK LTD,GAZIPUR,DALAN BAZAR
10330494,AGRANI BANK LTD,GAZIPUR,GAGOTIA CHALAR BAZAR
10330528,AGRANI BANK LTD,GAZIPUR,GAZIPUR
10330649,AGRANI BANK LTD,GAZIPUR,GOSINGA
10330799,AGRANI BANK LTD,GAZIPUR,KALIAKOIR
10330852,AGRANI BANK LTD,GAZIPUR,KAORAID
10330881,AGRANI BANK LTD,GAZIPUR,KAPASIA
10330915,AGRANI BANK LTD,GAZIPUR,KASHIMPUR
10331127,AGRANI BANK LTD,GAZIPUR,MOUNA BAZAR
10331156,AGRANI BANK LTD,GAZIPUR,NAGARI
10331301,AGRANI BANK LTD,GAZIPUR,RAJABARI
10331480,AGRANI BANK LTD,GAZIPUR,SREEPUR
10331572,AGRANI BANK LTD,GAZIPUR,TOKNAYAN
10331635,AGRANI BANK LTD,GAZIPUR,TONGI
10350058,AGRANI BANK LTD,GOPALGANJ,VANGAR HAT
10350061,AGRANI BANK LTD,GOPALGANJ,BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY
10350074,AGRANI BANK LTD,GOPALGANJ,BANAGRAM BAZAR
10350087,AGRANI BANK LTD,GOPALGANJ,KALIGANJ BAZAR
10350379,AGRANI BANK LTD,GOPALGANJ,GOPALGANJ
10350461,AGRANI BANK LTD,GOPALGANJ,JALIRPUR
10350490,AGRANI BANK LTD,GOPALGANJ,JHUTIGRAM
10350582,AGRANI BANK LTD,GOPALGANJ,KASHIANI
10350674,AGRANI BANK LTD,GOPALGANJ,KOTALIPARA
10350737,AGRANI BANK LTD,GOPALGANJ,MUKSUDPUR
10350858,AGRANI BANK LTD,GOPALGANJ,POURA SUPER MARKET
10350979,AGRANI BANK LTD,GOPALGANJ,RAMDIA
10351099,AGRANI BANK LTD,GOPALGANJ,TUNGI PARA
10360527,AGRANI BANK LTD,HABIGANJ,GOPAYA
10360619,AGRANI BANK LTD,HABIGANJ,HABIGANJ
10360701,AGRANI BANK LTD,HABIGANJ,KAILASHGANJ
10361092,AGRANI BANK LTD,HABIGANJ,NABIGANJ
10361339,AGRANI BANK LTD,HABIGANJ,PURAN BAZAR
10380044,AGRANI BANK LTD,JOYPURHAT,AKKELPUR
10380057,AGRANI BANK LTD,JOYPURHAT,JOYPURHAT GIRLS CADET COLLEGE
10380107,AGRANI BANK LTD,JOYPURHAT,AWLAI
10380228,AGRANI BANK LTD,JOYPURHAT,CHAWK BARKAT
10380402,AGRANI BANK LTD,JOYPURHAT,JOYPURHAT
10380460,AGRANI BANK LTD,JOYPURHAT,KALAI
10380523,AGRANI BANK LTD,JOYPURHAT,KUSHUMBA
10380581,AGRANI BANK LTD,JOYPURHAT,MATRAI
10380673,AGRANI BANK LTD,JOYPURHAT,PANCHBIBI
10390197,AGRANI BANK LTD,JAMALPUR,BALIJURI BAZAR
10390405,AGRANI BANK LTD,JAMALPUR,BUS STAND
10390700,AGRANI BANK LTD,JAMALPUR,HAZIPUR BAZAR
10390797,AGRANI BANK LTD,JAMALPUR,ISLAMPUR BAZAR
10390821,AGRANI BANK LTD,JAMALPUR,JAGANNATHGONJ GHAT
10390850,AGRANI BANK LTD,JAMALPUR,JAMALPUR
10390942,AGRANI BANK LTD,JAMALPUR,JAMTOLI BAZAR
